CALCULATED RATIOS FOR EQUITY:,,enter equity ticker
Category,Metric,Value
Profitability,EBITDA Margin,
Profitability,PAT Margin (Net Profit Margin),
Profitability,EBITDA Margin CAGR,
Profitability,PAT Margin CAGR,
Profitability,Return on Equity (ROE),
Profitability,Return on Assets (ROA),
Profitability,Return on Capital Employed (ROCE),
Profitability,Gross Profit Margin (GPM),
Profitability,Net Profit Growth,
Profitability,EPS Growth / Trend,
Leverage/Solvency,Leverage Ratio (Debt vs Equity),
Leverage/Solvency,Debt/Equity Ratio,
Leverage/Solvency,Interest Coverage Ratio,
Efficiency,Fixed Asset Turnover Ratio,
Efficiency,Working Capital Turnover Ratio,
Efficiency,Total Assets Turnover Ratio,
Efficiency,Inventory Turnover Ratio,
Efficiency,Inventory Days,
Efficiency,Receivables Turnover Ratio,
Efficiency,Days Sales Outstanding (DSO),
Valuation,Price to Earnings (P/E) Ratio,
Valuation,Price to Book (P/B) Ratio,
Valuation,Price to Sales (P/S) Ratio,
Valuation,Earnings Per Share (EPS),
Valuation,Book Value per Share,
Valuation Model,Discounted Cash Flow (DCF),
Valuation Model,Intrinsic Value per Share,
Valuation Model,Fair Value Band,
Valuation Model,Margin of Safety,
