Company Name,Industry group,Total income from continuing operations,Net sales,Change in stock,Total expenses,"Raw materials, stocks, spares, purchase of finished goods",Interest expenses,Depreciation,Total tax provision,Net Profit/(Loss) for the period from continuing operations (after tax),Reported Profit after tax,PBT,PBDT,PBDIT,PBIT net of P&E,Earnings per share before extraordinary item,Closing Price,Closing Price.1,Shares Outstanding,Market Capitalisation,EPS,P/E,Number of Transactions,Enterprise value,Industry P/E,Beta,Forward_Return,Target_Investable,EBITDA_Margin,PAT_Margin_Net_Profit_Margin,Return_on_Equity_ROE,Return_on_Capital_Employed_ROCE,Return_on_Assets_ROA,Debt_to_Equity_Ratio,Interest_Coverage_Ratio
3M India Ltd.,"Plastic furniture, floorings & miscellaneous items",943.41,932.22,-12.09,818.55,562.38,0.56,13.88,38.46,112.77,112.77,151.23,165.11,165.67,151.79,100.11,34830.95,23145.65,11265070,26073.736745,346.895314,66.722291,267,24891.636745,52.52,0.815759,-0.33548611220767727,0,0.1777155607045547,0.1209692990924889,0.43426736211638595,0.00609803210431673,0.004530437317371353,-0.04533680812845833,271.0535714285714
A B B India Ltd.,"Generators, transformers & switchgears",2496.92,2426.91,-12.97,2178.04,1475.34,7.24,26.82,94.32,305.91,305.32,399.45,426.27,433.51,407.47,14.41,5175.8,2826.55,211908375,59896.961736,29.890749,94.562703,1956,56780.971736,78.35,0.768015,-0.4538911859036284,0,0.1786263190641598,0.12580606614996023,0.8826553315384366,0.007176171656492766,0.005377153484085628,-0.052022505143648846,56.280386740331494
A C C Ltd.,Cement,4577.66,4536.97,-118.56,4348.65,1169.52,18.83,171.56,39.04,110.45,110.45,149.49,321.05,339.88,247.42,5.88,1752.65,1969.35,187787263,36981.884639,37.249065,52.869783,8437,30181.494639,48.83,0.976876,0.12364134310900625,1,0.07491343341481209,0.024344441334194406,0.14052594095832974,0.008197738480462402,0.0036595271811780466,-0.18388435490463112,13.13967073818375
A D F Foods Ltd.,Processed foods,102.34,99.77,-3.64,79.48,38.81,0.16,1.44,7.48,19.22,19.22,26.7,28.14,28.3,26.86,1.75,209.45,763.05,21972719,1676.628323,23.524626,32.436222,372,1585.448323,67.56,1.414542,2.643112914776796,1,0.2836524005211988,0.19264307908188835,0.10206438476929194,0.016941580252313276,0.012122754000352239,-0.054382953424555645,167.875
A G I Greenpac Ltd.,Glass & glassware,570.4,567.3,12.31,529.48,199.24,13.13,30.25,16.04,53.23,53.09,69.08,99.33,112.46,82.4,8.21,721.85,326.05,64697381,2109.458108,24.643965,13.23042,1510,3226.098108,33.34,1.149549,-0.5483133615016971,0,0.19823726423409133,0.09358364181209237,0.7371878991807344,0.02554169068685992,0.01645641211851205,0.52934921805994,6.275704493526276
A I A Engineering Ltd.,Castings & forgings,1178.83,997.11,-42.5,781.2,426.39,5.21,23.95,89.69,355.13,355.13,444.82,468.77,473.98,450.03,37.65,3801.6,2747.75,94320370,25916.879667,95.092926,28.89542,2817,24164.489667,31.58,0.613337,-0.2772122264309764,0,0.47535377240224247,0.3561593003780927,0.5478010460675717,0.018623608700273072,0.014696358371059655,-0.06761577869388806,86.37811900191939
A P L Apollo Tubes Ltd.,Steel pipes & tubes,3770.8,3761.18,4.34,3641.96,3345.21,14.02,24.11,47.19,133.18,133.18,180.37,204.48,218.5,194.39,5.32,1820.65,1147.15,277330814,31814.004328,22.73999,50.446372,1432,31865.704328,31.67,1.274783,-0.3699228297586027,0,0.05809347066612074,0.035409100335533,0.3351636187486227,0.006100288824596665,0.004179414916712711,0.001625070502505048,13.865192582025678
A U Small Finance Bank Ltd.,Banking services,2412.96,2118.07,0.78,2020.13,215.055,965.34,13.37,130.24,392.83,392.83,523.07,523.07,1488.41,1488.41,5.9,985.15,619.0,666604903,41262.843496,20.252026,30.564843,5624,41325.113496,18.44,1.36748,-0.37166928894077045,0,0.7027199289919597,0.1854660138711185,0.4631049037622896,0.03601708196503969,0.009505842011493166,0.0015091058861717375,1.5418505397062174
A V T Natural Products Ltd.,Other agricultural products,148.23,148.23,12.7,146.09,81.21,1.21,4.08,6.72,14.84,14.84,21.56,25.64,26.85,22.77,0.97,65.56,98.15,152284000,1494.66746,5.046492,19.449154,320,1499.79746,20.22,1.511209,0.49710189139719346,1,0.18113742157458007,0.10011468663563382,0.1289848422937132,0.015182049981602183,0.009894669377557154,0.0034322015681000437,18.81818181818182
A W L Agri Business Ltd.,Vegetable oils & products,14789.9,14713.94,-455.25,14057.58,12575.7,237.25,80.57,103.43,277.07,277.07,380.5,461.07,698.32,617.99,2.13,244.6,466.9,1299678605,60681.994067,5.605694,83.290318,7577,66644.854067,51.57,0.850694,0.9088307440719542,1,0.04745975585057435,0.018830442423987046,0.19923091367935486,0.009272883985591998,0.004157410258884407,0.09826407473387082,2.604805057955743
Aarti Drugs Ltd.,Drugs & pharmaceuticals,626.5,625.53,-23.67,566.12,415.21,9.12,11.87,12.25,36.71,36.71,48.96,60.83,69.95,58.08,3.96,381.9,400.9,92600000,3712.334,16.483801,24.320846,1001,4229.474,39.53,1.053981,0.04975124378109453,0,0.11182517225392868,0.05868623407350567,0.22910239911687819,0.013732204051851365,0.00867956630067947,0.1393031984729823,6.36842105263158
